70,13
67,99
65,10
67,06
67,84
64,47
63,98
63,61
63,35
61,82
62,11
62,49
64,24
65,13
65,65
61,90
68,00
71,07
71,67
71,10
69,74
67,09
61,30
51,75
41,41
35,46
32,69
31,78
29,47
30,70
32,13
34,24
34,09
36,22
36,20
35,08
36,05
37,67
41,00
43,89
46,15
48,67
51,36
52,29
52,01
52,98
51,31
50,88
50,76
47,43
44,28
41,85
39,53
35,38
32,29
27,53
22,80
20,86
22,62
23,28
25,59
28,28
31,61
35,46
40,09
46,25
49,12
50,24
52,17
57,87
62,72
65,53
67,74
69,37
70,31
69,61
67,77
65,35
63,44
60,13
54,57
53,38
54,70
57,91
59,48
58,66
57,68
57,64
59,56
60,50
59,86
59,56
60,35
60,39
62,67
65,25
62,93
62,23
64,77
64,12
61,55
58,53
54,31
46,54
38,68
30,91
26,35
20,77
21,79
21,54
20,55
20,66
25,27
32,86
38,73
42,61
45,50
42,93
42,38
41,01
37,09
30,97
25,47
21,39
16,81
15,86
16,66
17,57
17,38
18,10
20,21
22,31
23,56
23,84
22,18
18,24
14,79
12,17
11,30
11,35
11,20
9,84
9,40
8,37
7,91
8,05
9,55
10,16
11,64
13,96
17,87
21,57
27,58
32,61
42,53
53,16
57,38
57,28
56,75
53,11
47,75
42,38
40,16
39,74
39,50
39,12
42,30
46,21
51,71
56,30
59,25
61,35
62,34
62,86
64,08
65,62
66,48
67,67
67,67
62,04
54,67
49,82
46,86
42,87
36,18
29,18
26,74
25,36
26,02
26,30
27,86
31,23
38,96
46,00
51,15
54,17
54,16
53,26
55,76
61,74
67,00
70,28
73,26
74,90
75,50
75,60
76,07
76,13
76,60
76,76
76,22
75,87
74,47
71,61
68,21
63,49
58,57
50,93
42,81
33,94
24,89
17,84
16,24
20,46
25,12
28,72
31,30
35,80
40,79
47,03
53,07
59,62
64,03
66,90
69,41
64,38
52,21
45,49
48,07
50,02
51,93
46,83
41,46
34,15
24,50
24,56
31,82
43,55
54,31
59,43
68,04
70,24
69,39
61,37
52,25
53,69
55,95
56,95
57,36
53,97
53,05
57,59
56,53
54,61
52,51
41,21
38,30
43,43
51,24
62,25
67,75
69,51
66,20
59,84
51,94
48,55
51,51
54,82
60,40
67,12
71,12
75,88
77,67
77,22
75,95
73,74
72,51
73,21
73,27
72,50
71,73
72,25
72,17
71,19
68,49
64,92
59,57
53,04
49,80
45,01
35,24
21,52
11,14
9,22
13,94
23,53
38,41
51,36
61,07
65,88
69,91
73,37
75,30
72,23
70,53
69,00
68,32
65,62
61,32
57,84
53,57
51,82
53,87
50,96
56,00
60,73
64,79
67,90
69,78
70,30
67,92
62,40
58,39
55,24
49,73
42,95
38,93
38,65
42,39
49,06
55,20
61,57
66,14
68,70
69,18
69,40
69,10
69,25
69,28
69,21
67,80
65,77
63,38
63,28
63,33
66,31
69,95
72,01
72,90
72,88
72,55
71,35
69,94
68,30
64,43
54,84
44,79
36,03
26,98
20,75
18,18
18,27
22,02
25,72
24,58
18,66
13,12
10,31
7,98
6,11
4,55
3,49
3,26
3,80
4,03
4,11
4,73
6,45
8,74
16,74
24,38
32,19
37,67
42,17
45,48
48,26
55,22
63,96
67,79
71,00
70,82
64,96
57,31
53,49
55,46
62,51
64,57
66,04
67,65
62,67
59,31
57,74
