1	0.097
2	0.133
3	0.2
4	0.261
5	0.375
6	0.308
7	0.309
8	0.43
9	0.386
10	0.336
11	0.407
12	0.376
13	0.39
14	0.319
15	0.385
16	0.38
17	0.383
18	0.321
19	0.262
20	0.184
21	0.262
22	0.218
23	0.226
24	0.263
25	0.354
26	0.549
27	0.659
28	0.725
29	0.792
30	0.745
31	0.778
32	0.846
33	0.945
34	0.964
35	0.79
36	0.84
37	0.854
38	0.826
39	0.794
40	0.818
41	0.746
42	0.655
43	0.59
44	0.523
45	0.547
46	0.401
47	0.381
48	0.412
49	0.435
50	0.493
51	0.657
52	0.68
53	0.661
54	0.749
55	0.749
56	0.64
57	0.513
58	0.55
59	0.61
60	0.619
61	0.6
62	0.492
63	0.446
64	0.428
65	0.346
66	0.227
67	0.24
68	0.191
69	0.096
70	0.138
71	0.114
72	0.122
73	0.169
74	0.134
75	0.203
76	0.287
77	0.307
78	0.434
79	0.351
80	0.306
81	0.323
82	0.324
83	0.351
84	0.46
85	0.567
86	0.58
87	0.544
88	0.55
89	0.645
90	0.639
91	0.646
92	0.665
93	0.625
94	0.671
95	0.651
96	0.571
97	0.707
98	0.715
99	0.692
100	0.683
101	0.782
102	0.793
103	0.821
104	0.742
105	0.735
106	0.565
107	0.699
108	0.727
109	0.792
110	0.76
111	0.815
112	0.881
113	0.871
114	0.911
115	0.842
116	0.834
117	0.69
118	0.667
119	0.666
120	0.578
121	0.574
122	0.615
123	0.683
124	0.786
125	0.791
126	0.807
127	0.84
128	0.815
129	0.846
130	0.878
131	0.898
132	0.836
133	0.883
134	0.837
135	0.865
136	0.883
137	0.882
138	0.872
139	0.924
140	0.925
141	0.956
142	0.931
143	0.943
144	0.938
145	0.904
146	0.864
147	0.827
148	0.762
149	0.723
150	0.66
151	0.599
152	0.552
153	0.495
154	0.317
155	0.27
156	0.272
157	0.158
158	0.191
159	0.216
160	0.255
161	0.392
162	0.569
163	0.601
164	0.632
165	0.666
166	0.668
167	0.746
168	0.597
169	0.489
170	0.461
171	0.606
172	0.763
173	0.679
174	0.893
175	0.764
176	0.811
177	0.866
178	0.757
179	0.758
180	0.751
181	0.788
182	0.769
183	0.694
184	0.579
185	0.451
186	0.51
187	0.349
188	0.289
189	0.236
190	0.313
191	0.409
192	0.415
193	0.618
194	0.672
195	0.858
196	0.954
